window_seconds,otp_requests,request_velocity_per_sec,unique_phone_count,unique_ip_count,unique_device_count,ip_phone_ratio,device_phone_ratio,prefix_concentration,sequential_phone_score,country_entropy,carrier_entropy,success_rate,failure_rate,avg_interarrival_ms,new_account_ratio,night_request_ratio,repeat_phone_ratio,repeat_ip_ratio,risk_country_ratio,attack_type,label
60,41,0.6833333333333333,36,5,12,0.1388888888888889,0.3333333333333333,0.5232120732546345,0.2437478044370045,0.14814469071879746,0.4167184337884199,0.0,1.0,177.4307926986314,0.8267522060549228,0.35786740066047135,0.12195121951219512,0.8780487804878049,0.3636867759138828,sms_pumping,1
60,19,0.31666666666666665,17,16,16,0.9411764705882353,0.9411764705882353,0.3785375137896615,0.0,0.47842385208922994,0.23125049591074076,0.605917724676083,0.39408227532391704,350.0,0.5605045246952972,0.05718428095998916,0.10526315789473684,0.1578947368421053,0.07950203740876356,normal,0
60,36,0.6,36,8,12,0.2222222222222222,0.3333333333333333,0.5479010397767223,0.45751300698862163,0.6140355263617403,0.11635195121982879,0.0,1.0,225.35297323665145,0.7215838577910654,0.3424608996173884,0.0,0.7777777777777778,0.1001864918586942,sms_pumping,1
60,63,1.05,43,5,17,0.11627906976744186,0.3953488372093023,0.27371758385237227,0.07001725332199302,0.4224980959843025,0.8046695986315151,0.008840816319557873,0.9911591836804421,398.4002833025692,0.7893176761699613,0.7004210543629873,0.31746031746031744,0.9206349206349207,0.6464161451855743,flooding,1
60,4,0.06666666666666667,4,3,2,0.75,0.5,0.05,0.024883420013099674,0.20345360455188338,0.18497792257524817,0.6146261600724857,0.3853738399275143,11131.074690790534,0.5881274098358399,0.17452790199110443,0.0,0.25,0.05860471820075424,normal,0
60,43,0.7166666666666667,41,7,11,0.17073170731707318,0.2682926829268293,0.7836591007979385,0.5055309630088941,0.35643483905358864,0.18040990608102148,0.08084030460888214,0.9191596953911179,3532.709054150154,0.7341021570700098,0.45116086892406193,0.046511627906976716,0.8372093023255813,0.9458438324417004,sequential_spray,1
60,42,0.7,42,4,14,0.09523809523809523,0.3333333333333333,0.545919472735956,0.0036921916501895477,0.688625444346779,0.18388635023062405,0.0,1.0,100.0,1.0,0.37900716487104713,0.0,0.9047619047619048,0.4469214583461443,sms_pumping,1
60,28,0.4666666666666667,19,18,15,0.9473684210526315,0.7894736842105263,0.5163329645994851,0.3950767613350549,0.4685485267675132,0.5727058375104459,0.3112480479918288,0.6887519520081712,2437.0632008151183,0.7645482866322099,0.43569944148908035,0.3214285714285714,0.3571428571428571,0.07413277364260662,sms_pumping,1
60,4,0.06666666666666667,4,2,2,0.5,0.5,0.14453484571246344,0.05068399946950427,0.49719786601170424,0.47344586633374486,0.7620527432239764,0.23794725677602357,9754.02536747572,0.3630808088707678,0.0,0.0,0.5,0.10742864249513431,normal,0
60,2,0.03333333333333333,2,1,1,0.5,0.5,0.2707933585415533,0.01988081738897903,0.6295103217883135,0.8534725474451279,0.6639931025137159,0.3360068974862841,11335.27033379061,0.6436722963769459,0.0,0.0,0.5,0.0,normal,0
60,20,0.3333333333333333,13,15,20,1.1538461538461537,1.5384615384615385,0.4594075595665119,0.13808956841164824,0.25140052585457257,0.5545056105271936,0.810577782251072,0.18942221774892798,7221.734877367157,0.44608249637351827,0.1890085504352117,0.35,0.25,0.15751125613727399,normal,0
60,33,0.55,32,31,12,0.96875,0.375,0.40425896168552095,0.21171466547942375,0.5247036839454579,0.0,0.7428541635426423,0.25714583645735767,3814.338293959918,0.5900668978492699,0.4672537433121611,0.030303030303030276,0.06060606060606055,0.277798534095055,sequential_spray,1
60,52,0.8666666666666667,36,1,8,0.027777777777777776,0.2222222222222222,0.37454942657073487,0.12656096852471363,0.6328939196103858,0.5945496900035471,0.09435959920446724,0.9056404007955328,529.7348674802813,0.7898746891206011,0.22194500486166785,0.3076923076923077,0.9807692307692307,0.43353984010181956,flooding,1
60,42,0.7,38,8,10,0.21052631578947367,0.2631578947368421,0.7034615247718126,0.13647554575649898,0.3064103706004494,0.15002859725998224,0.0,1.0,100.0,0.6148483334437388,0.3888944318817935,0.09523809523809523,0.8095238095238095,0.5546670625424582,sms_pumping,1
60,3,0.05,3,2,2,0.6666666666666666,0.6666666666666666,0.2202766848105,0.0,0.41753510759257034,0.28674803778859437,0.9978816116130389,0.002118388386961101,10620.290176489243,0.40690659616978536,0.1421194664387008,0.0,0.33333333333333337,0.11960681004607787,normal,0
60,7,0.11666666666666667,5,4,6,0.8,1.2,0.2221725465365298,0.0627352109509376,0.34640741513614054,0.5172792531257747,0.8341115279777152,0.16588847202228485,10392.258911393114,0.5498350777741646,0.19128297240517006,0.2857142857142857,0.4285714285714286,0.022823771391874664,normal,0
60,3,0.05,3,1,2,0.3333333333333333,0.6666666666666666,0.19130868765342138,0.07444248070051325,0.041425954197850175,0.22855649990151977,0.6480818796749372,0.35191812032506276,8867.372536865427,0.2894711244422264,0.0,0.0,0.6666666666666667,0.1352753372352429,normal,0
